mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
Javascript,Which of the following are methods used to save charts ?,Multiple Choice Question,"1, 2, 3, 4",bmp(),pdf(),jpeg(),All of the Above,,D,-,LEVEL 2
CSS,Which of the following specifies animation code?,Multiple Choice Question,"1, 2, 3, 4",animation-delay,animation-direction,@keyframes,animation,None of these,C,,LEVEL 3
CSS,The possible named values for the horizontal axis of background-position property are ………..<br>i) left  ii) top  iii) center  iv) right  v) bottom,Multiple Choice Question,"1, 2, 3, 4","ii, iii and iv only","ii, iii and v only","iii, iv and v only","i, iii and iv only",-,D,,LEVEL 2
HTML,The &lt;hr&gt; tag in HTML is used for ___,Multiple Choice Question,"1, 2, 3, 4",vertical ruler,new line,horizontal ruler,new paragraph,-,C,,LEVEL 2
HTML,The program which can be used to make your computer act as a terminal is,Multiple Choice Question,"1, 2, 3, 4",Terminal simulation program,Terminal emulation program,Terminal emulsion program,None of the above,-,B,-,LEVEL 2
Sanskrit-lecture-2-quiz-1,"Fill in the blanks

 एषा छात्रा अस्ति | ----- नाम गायत्री |",Multiple Choice Question,"1, 2, 3, 4",एतस्य,एतस्याः,,,,B,-,LEVEL 1
LR - Statement and Conclusion,"Statements: 
Population increase coupled with depleting resources is going to be the scenario of many developing countries in days to come.

Conclusions:

I. The population of developing countries will not continue to increase in future.
II. It will be very difficult for the governments of developing countries to provide its people decent quality of life.",Multiple Choice Question,"1, 2, 3, 4",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,B,-,LEVEL 1
Javascript interview,"What is the output of the following code?

var length = 10;
function fn() {
	console.log(this.length);
}

var obj = {
  length: 5,
  method: function(fn) {
    fn();
    arguments[0]();
  }
};

obj.method(fn, 1);",Multiple Choice Question,"1, 2, 3, 4","10
5","5
10","5
2","10
2",,D,-,LEVEL 1
Java,"What is the output of the below code:

char ch = ‘A’;//ASCII VALUE OF A IS 65
int a=ch+1;
ch=(char)a;
System.out.print(ch);",Multiple Choice Question,"1, 2, 3, 4",66,A,B,65,,C,-,LEVEL 1
ANSR Section A - OBQ,Which of the following would equate to true?,Multiple Choice Question,"1, 2, 3, 4",s1 == s2,s1 = s2,s3 == s1,s1!=s2,,A,-,LEVEL 1
Aptitude - Ratios,Rs.207 is divided between A and B so that A gets 7/16th of what B gets. What amount does A get?,Multiple Choice Question,"1, 2, 3, 4",Rs.63,Rs.210,Rs.110,Rs.105,,A,-,LEVEL 1
Node,What is Callback?,Multiple Choice Question,"1, 2, 3, 4",Callback is an asynchronous equivalent for a function,Callback is a technique in which a method call back the caller method,Both of the above,None of the above,,A,-,LEVEL 1
Sanskrit-lecture-3-quiz-1,"Click correct number choice

5",Multiple Choice Question,"1, 2, 3, 4",पञ्च pañca,त्रीणि trīṇi,विंशतिः viṃśatiḥ,,,A,-,LEVEL 1
OS2,"Which of the following concurrency control protocols ensure both conflict serializability and freedom from deadlock?

I) 2-phase locking
II) Timestamp ordering",Multiple Choice Question,"1, 2, 3, 4",I only,II only,Both I and II,Neither I and II,,B,-,LEVEL 1
